.,date
189.042236,2015-12-03
192.729111,2015-12-04
191.561462,2015-12-07
190.274261,2015-12-08
188.793961,2015-12-09
189.281311,2015-12-10
185.612808,2015-12-11
186.550613,2015-12-14
188.509003,2015-12-15
191.267227,2015-12-16
188.352692,2015-12-17
184.997162,2015-12-18
186.523209,2015-12-21
188.215805,2015-12-22
190.546555,2015-12-23
190.23204,2015-12-24
189.797363,2015-12-28
191.822876,2015-12-29
190.463272,2015-12-30
188.558014,2015-12-31
185.922073,2016-01-04
186.236526,2016-01-05
183.887283,2016-01-06
179.475525,2016-01-07
177.505524,2016-01-08
177.681229,2016-01-11
179.114853,2016-01-12
174.647629,2016-01-13
177.51474,2016-01-14
173.704208,2016-01-15
173.93544,2016-01-19
171.706436,2016-01-20
172.66835,2016-01-21
176.210678,2016-01-22
173.546982,2016-01-25
175.914688,2016-01-26
174.000183,2016-01-27
174.906586,2016-01-28
179.170334,2016-01-29
179.10556,2016-02-01
175.877701,2016-02-02
176.932098,2016-02-03
177.209549,2016-02-04
173.833679,2016-02-05
171.493713,2016-02-08
171.502991,2016-02-09
171.354965,2016-02-10
169.125977,2016-02-11
172.612854,2016-02-12
175.52623,2016-02-16
178.393417,2016-02-17
177.66272,2016-02-18
177.579498,2016-02-19
180.150757,2016-02-22
177.875458,2016-02-23
178.689362,2016-02-24
180.853622,2016-02-25
180.437439,2016-02-26
179.022339,2016-02-29
183.230606,2016-03-01
184.053787,2016-03-02
184.775177,2016-03-03
185.376343,2016-03-04
185.524338,2016-03-07
183.498825,2016-03-08
184.405243,2016-03-09
184.553207,2016-03-10
187.531372,2016-03-11
187.290863,2016-03-14
186.985672,2016-03-15
188.067825,2016-03-16
189.26091,2016-03-17
190.004639,2016-03-18
190.274246,2016-03-21
190.171982,2016-03-22
188.916962,2016-03-23
188.833267,2016-03-24
188.944839,2016-03-28
190.692596,2016-03-29
191.529282,2016-03-30
191.064484,2016-03-31
192.365997,2016-04-01
191.743088,2016-04-04
189.828033,2016-04-05
191.901138,2016-04-06
189.604889,2016-04-07
190.116226,2016-04-08
189.669983,2016-04-11
191.43634,2016-04-12
193.370041,2016-04-13
193.379303,2016-04-14
193.165497,2016-04-15
194.522812,2016-04-18
195.136368,2016-04-19
195.322342,2016-04-20
194.271805,2016-04-21
194.271805,2016-04-22
193.937149,2016-04-25
194.225296,2016-04-26
194.625061,2016-04-27
192.858704,2016-04-28
191.81749,2016-04-29
193.342148,2016-05-02
191.659439,2016-05-03
190.590332,2016-05-04
190.553162,2016-05-05
191.250397,2016-05-06
191.408432,2016-05-09
193.788391,2016-05-10
191.975525,2016-05-11
192.031296,2016-05-12
190.357895,2016-05-13
192.23584,2016-05-16
190.441589,2016-05-17
190.497375,2016-05-18
189.837311,2016-05-19
191.036575,2016-05-20
190.776276,2016-05-23
193.249146,2016-05-24
194.559998,2016-05-25
194.615738,2016-05-26
195.452469,2016-05-27
195.080612,2016-05-31
195.480392,2016-06-01
196.075363,2016-06-02
195.489655,2016-06-03
196.48439,2016-06-06
196.791183,2016-06-07
197.432678,2016-06-08
197.163071,2016-06-09
195.294418,2016-06-10
193.788391,2016-06-13
193.407196,2016-06-14
193.137634,2016-06-15
193.714005,2016-06-16
192.992584,2016-06-17
194.235458,2016-06-20
194.786835,2016-06-21
194.469101,2016-06-22
197.001572,2016-06-23
189.927414,2016-06-24
186.525864,2016-06-27
189.890076,2016-06-28
193.123413,2016-06-29
195.758652,2016-06-30
196.169876,2016-07-01
194.758759,2016-07-05
195.926895,2016-07-06
195.80542,2016-07-07
198.721024,2016-07-08
199.421936,2016-07-11
200.870407,2016-07-12
200.842377,2016-07-13
201.963745,2016-07-14
201.692749,2016-07-15
202.234756,2016-07-18
202.029144,2016-07-19
202.870193,2016-07-20
202.103928,2016-07-21
203.010406,2016-07-22
202.459045,2016-07-25
202.55249,2016-07-26
202.337555,2016-07-27
202.571198,2016-07-28
202.898254,2016-07-29
202.730072,2016-08-01
201.431091,2016-08-02
202.019791,2016-08-03
202.234756,2016-08-04
203.888809,2016-08-05
203.767288,2016-08-08
203.888809,2016-08-09
203.384186,2016-08-10
204.328033,2016-08-11
204.150482,2016-08-12
204.739212,2016-08-15
203.683243,2016-08-16
204.066391,2016-08-17
204.524277,2016-08-18
204.22522,2016-08-19
204.215897,2016-08-22
204.62706,2016-08-23
203.580444,2016-08-24
203.440247,2016-08-25
203.057098,2016-08-26
204.057037,2016-08-29
203.720612,2016-08-30
203.14119,2016-08-31
203.150574,2016-09-01
204.066391,2016-09-02
204.683151,2016-09-06
204.664429,2016-09-07
204.19722,2016-09-08
199.309784,2016-09-09
202.169342,2016-09-12
199.263062,2016-09-13
199.188263,2016-09-14
201.178772,2016-09-15
200.401108,2016-09-16
200.438675,2016-09-19
200.448059,2016-09-20
202.702194,2016-09-21
203.979507,2016-09-22
202.861847,2016-09-23
201.218262,2016-09-26
202.467392,2016-09-27
203.472351,2016-09-28
201.631454,2016-09-29
203.152985,2016-09-30
202.664627,2016-10-03
201.631454,2016-10-04
202.523743,2016-10-05
202.664627,2016-10-06
201.969635,2016-10-07
203.02153,2016-10-10
200.457428,2016-10-11
200.720444,2016-10-12
200.063004,2016-10-13
200.166306,2016-10-14
199.471298,2016-10-17
200.720444,2016-10-18
201.255768,2016-10-19
200.880112,2016-10-20
200.973999,2016-10-21
201.828735,2016-10-24
201.152466,2016-10-25
200.748627,2016-10-26
200.213257,2016-10-27
199.621552,2016-10-28
199.630951,2016-10-31
198.18454,2016-11-01
196.991745,2016-11-02
196.090088,2016-11-03
195.8741,2016-11-04
200.194427,2016-11-07
201.0961,2016-11-08
203.228149,2016-11-09
203.735336,2016-11-10
203.265717,2016-11-11
203.425369,2016-11-14
205.01268,2016-11-15
204.627563,2016-11-16
205.679504,2016-11-17
205.219254,2016-11-18
206.768997,2016-11-21
207.172882,2016-11-22
207.285583,2016-11-23
208.05574,2016-11-25
207.078934,2016-11-28
207.482819,2016-11-29
206.985031,2016-11-30
206.224258,2016-12-01
206.32756,2016-12-02
207.567337,2016-12-05
208.224792,2016-12-06
210.948532,2016-12-07
211.465073,2016-12-08
212.742432,2016-12-09
212.49823,2016-12-12
213.916443,2016-12-13
212.150742,2016-12-14
213.0242,2016-12-15
212.607574,2016-12-16
213.070496,2016-12-19
213.89241,2016-12-20
213.297241,2016-12-21
212.928787,2016-12-22
213.240585,2016-12-23
213.769608,2016-12-27
212.002914,2016-12-28
211.955688,2016-12-29
211.181,2016-12-30
212.796539,2017-01-03
214.0625,2017-01-04
213.89241,2017-01-05
214.657684,2017-01-06
213.949142,2017-01-09
213.949142,2017-01-10
214.553757,2017-01-11
214.015259,2017-01-12
214.506531,2017-01-13
213.750732,2017-01-17
214.223099,2017-01-18
213.429504,2017-01-19
214.213654,2017-01-20
213.656219,2017-01-23
215.026138,2017-01-24
216.887314,2017-01-25
216.660568,2017-01-26
216.320465,2017-01-27
214.978897,2017-01-30
214.960022,2017-01-31
215.045044,2017-02-01
215.186752,2017-02-02
216.670013,2017-02-03
216.282684,2017-02-06
216.292145,2017-02-07
216.575546,2017-02-08
217.860382,2017-02-09
218.720123,2017-02-10
219.910522,2017-02-13
220.789154,2017-02-14
221.941727,2017-02-15
221.752823,2017-02-16
222.102325,2017-02-17
223.424988,2017-02-21
223.226578,2017-02-22
223.377762,2017-02-23
223.661209,2017-02-24
224.010757,2017-02-27
223.406097,2017-02-28
226.533249,2017-03-01
225.106689,2017-03-02
225.248367,2017-03-03
224.577637,2017-03-06
223.906815,2017-03-07
223.49115,2017-03-08
223.774582,2017-03-09
224.558701,2017-03-10
224.672104,2017-03-13
223.812347,2017-03-14
225.7491,2017-03-15
225.305069,2017-03-16
224.909409,2017-03-17
224.662704,2017-03-20
221.778107,2017-03-21
222.300003,2017-03-22
222.062805,2017-03-23
221.901489,2017-03-24
221.673767,2017-03-27
223.286835,2017-03-28
223.495605,2017-03-29
224.207199,2017-03-30
223.685364,2017-03-31
223.296341,2017-04-03
223.438644,2017-04-04
222.774445,2017-04-05
223.400711,2017-04-06
223.172974,2017-04-07
223.305832,2017-04-10
223.0401,2017-04-11
222.062805,2017-04-12
220.620514,2017-04-13
222.575211,2017-04-17
221.91098,2017-04-18
221.502991,2017-04-19
223.305832,2017-04-20
222.594162,2017-04-21
225.042236,2017-04-24
226.351669,2017-04-25
226.209351,2017-04-26
226.399094,2017-04-27
225.905701,2017-04-28
226.475006,2017-05-01
226.56044,2017-05-02
226.285217,2017-05-03
226.550919,2017-05-04
227.442886,2017-05-05
227.404907,2017-05-08
227.196182,2017-05-09
227.604156,2017-05-10
227.139236,2017-05-11
226.759689,2017-05-12
228.012161,2017-05-15
227.803436,2017-05-16
223.761261,2017-05-17
224.662704,2017-05-18
226.123962,2017-05-19
227.272049,2017-05-22
227.774994,2017-05-23
228.306335,2017-05-24
229.397522,2017-05-25
229.350082,2017-05-26
229.150818,2017-05-30
229.093887,2017-05-31
230.915695,2017-06-01
231.68428,2017-06-02
231.513489,2017-06-05
230.773361,2017-06-06
231.200378,2017-06-07
231.314209,2017-06-08
230.96312,2017-06-09
230.915695,2017-06-12
232.044861,2017-06-13
231.750687,2017-06-14
231.304733,2017-06-15
231.35527,2017-06-16
233.281357,2017-06-19
231.708069,2017-06-20
231.650833,2017-06-21
231.545975,2017-06-22
231.82251,2017-06-23
231.975052,2017-06-26
230.106216,2017-06-27
232.165756,2017-06-28
230.125305,2017-06-29
230.554352,2017-06-30
230.945267,2017-07-03
231.479248,2017-07-05
229.362457,2017-07-06
